yes 91 46 5.5205255 squeeze orange
yes 13 45 5.424063 control mouse
yes 96 14 4.2342343 stir bowl
yes 23 15 3.8287315 eat broccoli
yes 114 5 3.6298485 wear baseball_glove
yes 114 68 3.4936268 wear tie
yes 112 10 2.3695896 watch bird
yes 115 41 2.1529374 wield knife
yes 8 39 2.1380987 carry keyboard
yes 11 23 2.1049917 check clock
yes 59 35 2.0726163 operate hair_drier
yes 8 51 2.0296967 carry potted_plant
yes 8 9 2.0154746 carry bicycle
yes 61 31 1.9342105 paint fire_hydrant
yes 73 12 1.827203 read book
yes 8 67 1.7792332 carry tennis_racket
yes 23 29 1.5184344 eat donut
yes 87 58 1.4505632 sit_on skateboard
yes 93 22 1.4414581 stand_on chair
yes 23 1 1.4326754 eat apple
yes 87 0 1.376575 sit_on airplane
yes 64 19 1.37046 peel carrot
yes 8 64 1.3451278 carry suitcase
yes 8 17 1.3069661 carry cake
yes 76 56 1.3060111 ride sheep
yes 43 18 1.2679138 jump car
yes 112 79 1.2414907 watch zebra
yes 68 53 1.2270472 point remote
yes 54 38 1.2238877 make hot_dog
yes 76 25 1.2126832 ride cow
yes 43 37 1.2070279 jump horse
yes 115 4 1.1801318 wield baseball_bat
yes 8 24 1.1801257 carry couch
yes 8 58 1.1772197 carry skateboard
yes 20 26 1.1666341 drink_with cup
yes 36 56 1.1601044 hold sheep
yes 8 60 1.1408575 carry snowboard
yes 76 30 1.1405768 ride elephant
yes 85 26 1.1364326 sip cup
yes 109 39 1.1336634 type_on keyboard
yes 36 60 1.1129944 hold snowboard
yes 36 25 1.1045779 hold cow
yes 86 27 1.0978644 sit_at dining_table
yes 87 65 1.09748 sit_on surfboard
yes 93 70 1.0932407 stand_on toilet
yes 36 28 1.0706893 hold dog
yes 43 44 1.0702009 jump motorcycle
yes 43 11 1.0607405 jump boat
yes 76 18 1.0449003 ride car
yes 87 8 1.0413387 sit_on bench
yes 36 9 1.0347439 hold bicycle
yes 36 59 1.0240961 hold skis
yes 87 22 1.0240957 sit_on chair
yes 76 37 1.0215734 ride horse
yes 75 70 1.0012579 repair toilet
yes 36 58 0.99686015 hold skateboard
